title,authors,tags,quantity,series,languages
Fable Haven: Rise of the Evening Star,Brandon Mull,"fantasy,childrens,adventure",1,Fable Haven,english
Fable Haven: Grip of the Shadow Plague,Brandon Mull,"fantasy,childrens,adventure",1,Fable Haven,english
Fable Haven: Secrets of the Dragon Sanctuary,Brandon Mull,"fantasy,childrens,adventure",1,Fable Haven,english
Fable Haven: Keys to the Demon Prison,Brandon Mull,"fantasy,childrens,adventure",1,Fable Haven,english
Percy Jackson: The Lightning Thief,Rick Riordan,"ya,fantasy,mythology",1,Percy Jackson,english
Percy Jackson: The Sea of Monsters,Rick Riordan,"ya,fantasy,mythology",1,Percy Jackson,english
Percy Jackson: The Titan's Curse,Rick Riordan,"ya,fantasy,mythology",1,Percy Jackson,english
Percy Jackson: The Battle of the Labyrinth,Rick Riordan,"ya,fantasy,mythology",1,Percy Jackson,english
Percy Jackson: The Last Olympian,Rick Riordan,"ya,fantasy,mythology",1,Percy Jackson,english
The Kane Chronicles: The Red Pyramid,Rick Riordan,"ya,fantasy,egyptianmythology",1,Kane Chronicles,english
Magnus Chase: The Sword of Summer,Rick Riordan,"ya,fantasy,norsemythology",1,Magnus Chase,english
American Gods,Neil Gaiman,"fantasy,mythology,adventure",1,,english
Gothic Dreams Steampunk,Henry Winchester,"steampunk,gothic,fantasy",1,,english
"The War of the Worlds,The Invisible Man,and The Time Machine",H.G. Wells,"scifi,classic,adventure",1,,english
On the Art of Love,William Shakespeare,"poetry,classic,romance",1,,english
The Divine Comedy,Dante,"poetry,classic,epic",1,,english
Short Stories by Edgar Allen Poe,Edgar Allen Poe,"shortstories,horror,classic",1,,english
The Thousand and One Nights,Edited by Charles W. Eliot,"folklore,mythology,classic",1,,english
Iliad,Homer,"poetry,classic,epic",1,,english
"Wind,Sand,and Stars",Antoine de Saint-Exupery,"memoir,adventure,aviation",1,,english
Dracula,Bram Stoker,"gothic,classic,fantasy",1,,english
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,Robert Lewis Stevenson,"gothic,classic,thriller",1,,english
Pride and Prejudice,Jane Austen,"classic,romance,feministliterature",2,,english
To Kill a Mocking Bird,Harper Lee,"classic,drama,adventure",1,,english
The Basics of China Painting,Bill Thompson,"art,craft,painting",1,,english
The Color Mixing Bible,Ian Sidaway,"art,reference,painting",1,,english
The Ceramics Bible,Lewisa Taylor,"art,craft,ceramics",1,,english
Tattoo Flash Volume 1,J. Brett Prince,"art,tattoo,design",1,,english
Anglo Celtic Patterns and Motifs,Treubhan,"art,reference,tattoo",1,,english
Classic Flash in 5 Bold Colors,"Jeromy ""Tilt"" McCulloch","art,tattoo,reference",1,,english
"Stewed,Screwed,and Tattoed",Madame Chinchilla,"art,tattoo,culture",1,,english
Heavily Tattooed Men and Women,Schiffer,"photography,tattoo,culture",1,,english
Tattoo 1930s-1970s,Henk Schiffmacher,"history,tattoo,culture",1,,english
This Book is for People Who Love Tattoos,Verena Hutter,"culture,tattoo,art",1,,english
ABC Tattoo Flash Volume 2,Luke Wolf,"art,tattoo,reference",1,,english
French-English Dictionary,French-English Dictionary,"language,reference,dictionaries",1,,french
Students Endlish-Hindi Dictionary,Students Endlish-Hindi Dictionary,"language,reference,dictionaries",1,,hindi
English-Telugu Conversation Guide,English-Telugu Conversation Guide,"language,reference,linguistics",1,,telugu
Beginner's Hindi Script,Beginner's Hindi Script,"language,instruction,linguistics",1,,hindi
Harry Potter in Spanish,J.K. Rowling,"fantasy,ya,childrens,language",1,,spanish
Compact Spanish and English Dictionary,Compact Spanish and English Dictionary,"language,reference,dictionaries",1,,spanish
French Dictionary,French Dictionary,"language,reference,dictionaries",1,,french
Complete Hindi,Complete Hindi,"language,instruction,linguistics",1,,hindi
The Ultimate Spanish Review and Practice,The Ultimate Spanish Review and Practice,"language,study,linguistics",1,,spanish
Hindi Childrens Book,Hindi Childrens Book,"childrens,language,instruction",1,,hindi
The Little Prince in French,The Little Prince in French,"childrens,language,classic",1,,french
